frame.time_utc,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.protocols,frame.time_delta,frame.time_relative,frame.time_delta_displayed,frame.len,eth.src.oui,eth.dst.oui,tcp.len,tcp.ack,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,label
"Dec 22, 2023 03:10:11.782118000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0,0,0,80,6939,7080836,26,1,26,0,1
"Dec 22, 2023 03:10:11.981794000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.199676,0.199676,0.199676,54,7080836,6939,0,27,0,0.199676,1
"Dec 22, 2023 03:10:12.448910000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.023559,0.666792,0.023559,66,7080836,84,12,1,12,0,1
"Dec 22, 2023 03:10:12.449917000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.001007,0.667799,0.001007,66,7080836,5797493,12,1,12,0,1
"Dec 22, 2023 03:10:12.450791000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.000874,0.668673,0.000874,64,84,7080836,0,13,0,0.001881,1
"Dec 22, 2023 03:10:12.454523000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.003732,0.672405,0.003732,87,5797493,7080836,33,13,33,0.004606,1
"Dec 22, 2023 03:10:12.454923000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.0004,0.672805,0.0004,66,7080836,5797493,12,34,12,0.0004,1
"Dec 22, 2023 03:10:12.455289000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.000366,0.673171,0.000366,65,84,7080836,11,13,11,0,1
"Dec 22, 2023 03:10:12.455915000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000626,0.673797,0.000626,66,7080836,84,12,12,12,0.000626,1
"Dec 22, 2023 03:10:12.458627000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.002712,0.676509,0.002712,64,5797493,7080836,10,25,10,0.003704,1
"Dec 22, 2023 03:10:12.467073000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.008446,0.684955,0.008446,90,84,7080836,36,25,36,0.011158,1
"Dec 22, 2023 03:10:12.467920000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000847,0.685802,0.000847,66,7080836,84,12,48,12,0.000847,1
"Dec 22, 2023 03:10:12.472991000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.005071,0.690873,0.005071,71,84,7080836,17,37,17,0.005071,1
"Dec 22, 2023 03:10:12.661806000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.188815,0.879688,0.188815,54,7080836,5797493,0,44,0,0.203179,1
"Dec 22, 2023 03:10:12.668833000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.007027,0.886715,0.007027,54,7080836,84,0,65,0,0.195842,1
"Dec 22, 2023 03:10:12.902076000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.233243,1.119958,0.233243,85,7080836,6939,31,27,31,0,1
"Dec 22, 2023 03:10:12.960254000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.037431,1.178136,0.037431,60,6939,7080836,0,32,0,0.058178,1
"Dec 22, 2023 03:10:13.245850000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.269819,1.463732,0.269819,133,6939,7080836,79,32,79,0,1
"Dec 22, 2023 03:10:13.246084000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000234,1.463966,0.000234,85,7080836,6939,31,106,31,0.000234,1
"Dec 22, 2023 03:10:13.303125000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.057041,1.521007,0.057041,60,6939,7080836,0,63,0,0.057041,1
"Dec 22, 2023 03:10:13.634005000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.33088,1.851887,0.33088,66,7080836,5797493,12,44,12,0,1
"Dec 22, 2023 03:10:13.634013000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,8.00E-06,1.851895,8.00E-06,66,7080836,84,12,65,12,0,1
"Dec 22, 2023 03:10:13.635374000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.001361,1.853256,0.001361,64,84,7080836,0,49,0,0.001361,1
"Dec 22, 2023 03:10:13.638297000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.002923,1.856179,0.002923,87,5797493,7080836,33,37,33,0.004292,1
"Dec 22, 2023 03:10:13.639014000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000717,1.856896,0.000717,66,7080836,5797493,12,77,12,0.000717,1
"Dec 22, 2023 03:10:13.642976000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.003962,1.860858,0.003962,64,5797493,7080836,10,49,10,0.003962,1
"Dec 22, 2023 03:10:13.645188000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.002212,1.86307,0.002212,65,84,7080836,11,49,11,0,1
"Dec 22, 2023 03:10:13.645986000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000798,1.863868,0.000798,66,7080836,84,12,76,12,0.000798,1
"Dec 22, 2023 03:10:13.651169000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.005183,1.869051,0.005183,90,84,7080836,36,61,36,0.005183,1
"Dec 22, 2023 03:10:13.652030000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000861,1.869912,0.000861,66,7080836,84,12,112,12,0.000861,1
"Dec 22, 2023 03:10:13.663904000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.011874,1.881786,0.011874,71,84,7080836,17,73,17,0.011874,1
"Dec 22, 2023 03:10:13.732258000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.068354,1.95014,0.068354,82,6939,7080836,28,63,28,0,1
"Dec 22, 2023 03:10:13.732453000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000195,1.950335,0.000195,85,7080836,6939,31,134,31,0.000195,1
"Dec 22, 2023 03:10:13.833872000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.101419,2.051754,0.101419,54,7080836,5797493,0,87,0,0.190896,1
"Dec 22, 2023 03:10:13.864899000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.031027,2.082781,0.031027,54,7080836,84,0,129,0,0.200995,1
"Dec 22, 2023 03:10:14.031930000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.089073,2.249812,0.089073,85,7080836,6939,31,134,31,0,1
"Dec 22, 2023 03:10:14.083866000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.051936,2.301748,0.051936,60,6939,7080836,0,94,0,0.351413,1
"Dec 22, 2023 03:10:14.468828000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.384962,2.68671,0.384962,80,6939,7080836,26,94,26,0,1
"Dec 22, 2023 03:10:14.469031000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000203,2.686913,0.000203,85,7080836,6939,31,160,31,0.000203,1
"Dec 22, 2023 03:10:14.771942000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.148829,2.989824,0.148829,85,7080836,6939,31,160,31,0,1
"Dec 22, 2023 03:10:14.818945000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.047003,3.036827,0.047003,66,7080836,5797493,12,87,12,0,1
